idx,code,era,kpit,kbb,wpa,re24,whip
0,50404,3.52,0.047,3.0,-0.019,-0.65,1.37
1,52145,2.48,0.062,7.25,0.024,2.33,1.103
2,53322,2.25,0.037,1.231,-0.036,0.22,1.417
3,53714,1.88,0.045,3.0,0.16,2.33,1.221
4,53825,3.9,0.046,2.556,-0.028,0.33,1.5
5,64021,1.56,0.043,2.2,0.301,3.42,0.75
6,65056,5.46,0.043,3.5,-0.113,-0.86,1.393
7,68220,1.93,0.028,0.824,0.169,1.33,1.25
8,69962,5.84,0.02,0.833,-0.077,-0.45,1.622
9,76225,4.32,0.029,0.667,0.024,0.56,1.32
